Date,price
6/28/2017,57
6/29/2017,56
6/30/2017,56
7/3/2017,56
7/5/2017,56
7/6/2017,56
7/7/2017,56
7/10/2017,56
7/11/2017,56
7/12/2017,57
7/13/2017,57
7/14/2017,57
7/17/2017,56
7/18/2017,56
7/19/2017,56
7/20/2017,56
7/21/2017,56
7/24/2017,56
7/25/2017,57
7/26/2017,56
7/27/2017,58
7/28/2017,52
7/31/2017,52
8/1/2017,53
8/2/2017,54
8/3/2017,54
8/4/2017,54
8/7/2017,54
8/8/2017,53
8/9/2017,52
8/10/2017,52
8/11/2017,52
8/14/2017,52
8/15/2017,52
8/16/2017,52
8/17/2017,52
8/18/2017,51
8/21/2017,52
8/22/2017,53
8/23/2017,53
8/24/2017,52
8/25/2017,53
8/28/2017,53
8/29/2017,53
8/30/2017,53
8/31/2017,53
9/1/2017,53
9/5/2017,54
9/6/2017,53
9/7/2017,52
9/8/2017,52
9/11/2017,53
9/12/2017,52
9/13/2017,53
9/14/2017,53
9/15/2017,53
9/18/2017,53
9/19/2017,53
9/20/2017,54
9/21/2017,53
9/22/2017,54
9/25/2017,53
9/26/2017,54
9/27/2017,53
9/28/2017,53
9/29/2017,52
10/2/2017,52
10/3/2017,52
10/4/2017,52
10/5/2017,53
10/6/2017,54
10/9/2017,53
10/10/2017,54
10/11/2017,54
10/12/2017,54
10/13/2017,54
10/16/2017,53
10/17/2017,53
10/18/2017,54
10/19/2017,54
10/20/2017,53
10/23/2017,53
10/24/2017,53
10/25/2017,53
10/26/2017,53
10/27/2017,53
10/30/2017,54
10/31/2017,53
11/1/2017,54
11/2/2017,53
11/3/2017,54
11/6/2017,55
11/7/2017,56
11/8/2017,56
11/9/2017,56
11/10/2017,55
11/13/2017,55
11/14/2017,55
11/15/2017,55
11/16/2017,56
11/17/2017,56
11/20/2017,56
11/21/2017,56
11/22/2017,56
11/24/2017,56
11/27/2017,55
11/28/2017,55
11/29/2017,56
11/30/2017,57
12/1/2017,56
12/4/2017,57
12/5/2017,58
12/6/2017,58
12/7/2017,58
12/8/2017,57
12/11/2017,58
12/12/2017,58
12/13/2017,58
12/14/2017,58
12/15/2017,57
12/18/2017,57
12/19/2017,57
12/20/2017,56
12/21/2017,56
12/22/2017,56
12/26/2017,56
12/27/2017,56
12/28/2017,57
12/29/2017,56
1/2/2018,56
1/3/2018,57
1/4/2018,58
1/5/2018,58
1/8/2018,58
1/9/2018,58
1/10/2018,58
1/11/2018,59
1/12/2018,59
1/16/2018,59
1/17/2018,59
1/18/2018,60
1/19/2018,60
1/22/2018,60
1/23/2018,60
1/24/2018,59
1/25/2018,59
1/26/2018,57
1/29/2018,56
1/30/2018,56
1/31/2018,56
2/1/2018,55
2/2/2018,55
2/5/2018,53
2/6/2018,54
2/7/2018,54
2/8/2018,53
2/9/2018,54
2/12/2018,54
2/13/2018,55
2/14/2018,55
2/15/2018,56
2/16/2018,55
2/20/2018,55
2/21/2018,55
2/22/2018,54
2/23/2018,55
2/26/2018,56
2/27/2018,56
2/28/2018,56
3/1/2018,55
3/2/2018,56
3/5/2018,56
3/6/2018,56
3/7/2018,56
3/8/2018,56
3/9/2018,57
3/12/2018,58
3/13/2018,58
3/14/2018,58
3/15/2018,58
3/16/2018,58
3/19/2018,57
3/20/2018,58
3/21/2018,57
3/22/2018,57
3/23/2018,55
3/26/2018,57
3/27/2018,56
3/28/2018,57
3/29/2018,57
4/2/2018,55
4/3/2018,57
